figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference
,,,02-102F,,02-102F,89.5485,27.3146,2116,6,,,0.3,,,,,AHe,Coutland_2014(AGU_Publications)
,,,02-235F,,02-235F,89.74823,27.73522,1669,2.7,,,0.2,,,,,AHe,Coutland_2014(AGU_Publications)
,,,02-104F,,02-104F,89.7626,27.49077,2852,6.5,,,1.2,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH438,,micaschist,89.54089,27.15421,2470,6.5,,,0.4,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH437,,migmatite,89.55054,27.1306,2550,6.8,,,0.3,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH284,,quartzite,89.72347,28.14491,4189,3.6,,,0.5,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH436,,migmatite,89.55313,27.07518,2230,6.3,,,0.5,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH211,,augengneiss,89.80578,28.1714,4400,4.6,,,1.3,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH287,,marbble,89.68955,28.10946,3874,2.6,,,0.3,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH417,,gneiss,89.695,27.44078,2640,5,,,0.4,,,,,AHe,Coutland_2014(AGU_Publications)
,,,F08,,gneiss,89.748838,27.490287,3113,5.4,,,0.8,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH109,,quartzite,89.39972,27.44222,2400,5.1,,,0.1,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH111b,,schist,89.42323,27.449,2283,4.9,,,0.1,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH412,,gneiss,89.41937,27.45803,2480,5.1,,,0.1,,,,,AHe,Coutland_2014(AGU_Publications)
Middle Buthan ,,,BT0847,,leucogranite,90.58742,27.51336,3522,6.57,,,0.38,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0848,,orthogneiss,90.57289,27.53239,3213,7.27,,,0.25,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0849,,orthogneiss,90.54692,27.5085,2914,7.06,,,0.06,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0850,,paragneiss,90.53558,27.49989,2622,6.95,,,0.265,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0851,,paragneiss,90.52133,27.4935,2243,6.22,,,0.21,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0852,,paragneiss,90.48383,27.50411,2025,5.99,,,0.365,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0853,,leucogranite,90.45964,27.52039,1876,6.29,,,0.055,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0914,,orthogneiss,90.72881,27.69694,2882,5.06,,,0.09,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0919,,orthogneiss,90.74593,27.66614,2763,5.84,,,0.27,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0920,,orthogneiss,90.73758,27.6455,2779,4.53,,,0.27,,,,,ZHe,Adams_2015(Tectonics)
,,,BT1024,,orthogneiss,90.50137,27.49695,1827,7.9,,,0.7,,,,,ZHe,Adams_2015(Tectonics)
,,,BH103,,,91.006333,27.399139,3300,7.8,,,0.7,,,,,AFT,Grujic_2006(Geology)
,,,BH346,,,90.43225,27.447417,2390,6.3,,,0.5,,,,,AFT,Grujic_2006(Geology)
,,,BH345,,,90.481361,27.473,2220,6.2,,,0.4,,,,,AFT,Grujic_2006(Geology)
,,,BH344,,,90.46825,27.507806,1920,6.1,,,0.4,,,,,AFT,Grujic_2006(Geology)
,,,BH347,,,90.299306,27.524611,2590,6.9,,,1.1,,,,,AFT,Grujic_2006(Geology)
Diagram C - Central Nepal ,,,PL3,,,85.0925,27.5648,1400,8.42,,,0.36,,,,,ZHe,Hermann_2010(Journal_of_Geophysical_Research)
,,,PL4,,,85.0878,27.5676,1650,8.95,,,0.32,,,,,ZHe,Hermann_2010(Journal_of_Geophysical_Research)
,,,PL5,,,85.0856,27.5669,1840,9.08,,,0.85,,,,,ZHe,Hermann_2010(Journal_of_Geophysical_Research)
,,,PL6,,,85.0774,27.5703,2100,9.2,,,0.52,,,,,ZHe,Hermann_2010(Journal_of_Geophysical_Research)
,,,PL7,,,85.084,27.5901,2470,9.46,,,0.76,,,,,ZHe,Hermann_2010(Journal_of_Geophysical_Research)
,Central Nepal Samples ,,KT-11,GHS?,"lineated micaceous, lithic-rich quartzite",84.18049,27.91966,942,6.9,,,0.6,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,MG-3,Syangja Fm.,placer deposit within white and pink lithic-rich sandstone,84.420116,27.940691,1042,5.5,,,0.1,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,MG-14,Kuncha Fm.,gray and green quartzose schist,84.555083,27.943517,347,4.7,,,0.4,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,MG-16,Ulleri Gneiss,foliated biotite and muscovite-bearing granitoid,84.541333,28.074467,1185,3.1,,,0.4,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,MG-18,Kuncha Fm.,gray and green quartzose schist,84.4588,28.023467,430,3.1,,,0.4,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,MG-20,Syangja Fm.,rippled red and purple variegated quartzite ,84.471667,27.82145,218,5.9,,,2.6,,,,,ZHe,Cross_2014(PhD_Thesis)
,Other samples,,DR-7 ,GHS Igneous,mylonitic granitoid ,80.592033,29.14835,1865,12.3,,,0.6,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,DR-8,Budiganga Gneiss,mylonitic biotit-bearing augen gneiss,80.608983,29.18245,2042,14.3,,,0.7,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,DR-9,GHS Igneous,mylonitic granitoid ,80.623083,29.215483,2076,14,,,1.5,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,DR-11,Kalitar Fm.,biotite muscovite schist,80.972483,29.264667,1085,11.6,,,1.7,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,DR-12,Budiganga Gneiss?,mica schist,81.219883,29.2507,616,10.1,,,0.8,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,SK2,GHS,,83.054733,28.19935,,10.3,,,0.3,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,SK3,GHS,,82.796283,28.248803,,10.5,,,0.5,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,KG1,Syangja Fm.,,83.455267,27.951,,8.3,,,2.7,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,BG1,Syangja Fm.,,83.481667,28.228817,,4.9,,,0.7,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,DL9,"""Kushma"" Fm.",,81.736483,28.87445,,14.2,,,1.4,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,BH2,Syangja Fm.,,81.94202,28.44908,,11.1,,,1.2,,,,,ZHe,Cross_2014(PhD_Thesis)
,,,KN-29,,,85.472,27.907,,2.6,,,0.3,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-71,,,85.412,28.071,,3.3,,,0.6,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-80,,,85.445,28,,1.3,,,0.3,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-100,,,85.353,27.846,,6.1,,,1.4,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-109,,,85.313,27.801,,4.4,,,0.4,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-237,,,85.294,27.965,,2.8,,,1.2,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-244,,,85.368,27.94,,2.2,,,0.3,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-270,,,85.536,27.849,,4,,,1.4,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-272,,,85.266,27.496,,4.9,,,0.6,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN-299,,,84.999,27.781,,5,,,1.3,,,,,AFT,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN029*,,,85.472,27.907,,9.6,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN067,,,85.452,28.05,,7,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN071,,,85.412,28.071,,7.8,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN080,,,85.445,28,,5.1,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN100,,,85.353,27.846,,12.1,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN109*,,,85.313,27.801,,12.1,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN217,,,85.318,28.039,,12.1,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN237,,,85.294,27.965,,11.6,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN244,,,85.368,27.94,,7.5,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN250,,,85.407,27.936,,8.3,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN270,,,85.536,27.849,,11.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN272,,,85.266,27.496,,22,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN295*4,,,84.818,27.747,,19.5,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN299*4,,,84.999,27.781,,16.6,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN301,,,85.015,27.758,,15.1,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN427,,,85.228,27.791,,12,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN436,,,85.218,27.767,,13.5,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN440,,,85.549,27.718,,14.2,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN441*4,,,85.534,27.712,,18.9,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN443,,,85.559,27.729,,13.5,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN445,,,85.564,27.76,,17.1,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN450,,,85.568,27.764,,13.7,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN455,,,85.559,27.779,,38.8,,,0.5,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN459,,,85.537,27.782,,17.2,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN461,,,85.379,27.775,,12,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN462,,,85.357,27.779,,12,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN463,,,85.363,27.788,,12.9,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN471,,,85.506,27.795,,13.2,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN517,,,85.625,27.874,,7.3,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN521,,,85.641,27.944,,5.6,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN527,,,85.679,27.972,,7.1,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN665,,,85.535,27.871,,8.8,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN666,,,85.533,27.878,,8.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN667,,,85.539,27.896,,10.1,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN668,,,85.547,27.914,,8.3,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN669,,,85.548,27.939,,7.7,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN670,,,85.545,27.945,,7.9,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN671,,,85.54,27.951,,8.6,,,0.5,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN672,,,85.534,27.961,,8.8,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN674*4,,,85.529,27.974,,8.2,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN675,,,85.527,27.987,,8.2,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN677*4,,,85.525,28,,7.1,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN679,,,85.512,28.008,,7.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN689,,,85.467,27.959,,9.1,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN690,,,85.482,27.91,,11.6,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN693,,,85.473,27.885,,9.6,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN694,,,85.467,27.88,,10.8,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN695,,,85.454,27.869,,10.3,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN696,,,85.449,27.865,,10.2,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN697,,,85.438,27.865,,9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN698,,,85.411,27.874,,9.4,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN701,,,85.396,27.87,,9.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN702,,,85.39,27.874,,10.3,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN703,,,85.38,27.866,,11,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN704,,,85.369,27.873,,11.7,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN707,,,85.329,27.867,,11.4,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN709,,,85.241,27.874,,17.1,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN710,,,85.239,27.868,,64.7,,,0.5,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN723,,,85.427,28.068,,10.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN724,,,85.408,28.081,,10.1,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN731*4,,,85.372,28.087,,7.5,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN732,,,85.359,28.091,,11.2,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN733,,,85.347,28.097,,6.8,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN734,,,85.33,28.101,,8.5,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN735,,,85.324,28.107,,9.8,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN736,,,85.314,28.1,,4.9,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN737,,,85.307,28.093,,5.8,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN738,,,,,,13.4,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN739,,,,,,9.3,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN740,,,85.379,27.793,,12.5,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN742,,,85.417,27.758,,14.1,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN743,,,85.34,27.793,,13.6,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN745,,,85.473,27.698,,14.1,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN746,,,85.488,27.701,,14.6,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN748,,,85.508,27.705,,15.5,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN753,,,85.618,27.631,,15.3,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN864,,,85.071,27.495,,22.5,,,0.5,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN865,,,85.09,27.506,,17.6,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN870,,,84.893,27.554,,20.2,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN876,,,84.907,27.577,,19.9,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN880,,,84.854,27.735,,15.2,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KN881,,,,,,16.4,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP002,,,84.899,27.739,,16.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP040,,,84.895,27.69,,19.6,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP074,,,84.848,27.637,,18.9,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP095,,,84.84,27.621,,17.6,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP145,,,84.941,27.611,,17,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP159,,,84.97,27.62,,19.9,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP216,,,85.155,27.579,,18.4,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP316,,,85.121,27.599,,19.1,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,KP347,,,85.51,27.484,,19.8,,,0.4,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE04,,,85.346,28.136,,7.5,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE06,,,85.366,28.135,,6.4,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE08,,,85.401,28.145,,7.4,,,0.3,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE09,,,85.416,28.162,,6.9,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE10,,,85.424,28.169,,6.8,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE11,,,85.592,28.203,,12.3,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE13,,,85.542,28.209,,12.1,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE15,,,85.526,28.211,,8.8,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE20,,,85.491,28.214,,7.3,,,0.1,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE23,,,85.436,28.191,,7.8,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,NE25,,,85.385,28.158,,6.8,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
,,,SR91,,,84.843,27.698,,18.1,,,0.2,,,,,MAr,Hermann_2010(Journal_of_Geophysical_Research)
Diagram D - Central Taiwan,,,27-00,,,120.831,22.25,471.742,,0.58,,,0.89,,,,AFT,Fuller_2006(Tectonophysics)
,,,10-01 *8,,,120.632,22.389,145.298,,3.11,7.55,,0.32,1.46,,,AFT,Fuller_2006(Tectonophysics)
,,,13-01 *8,,,120.7,22.529,379.285,,2.37,3.98,,0.32,1.205,,,AFT,Fuller_2006(Tectonophysics)
,,,2-00 *8,,,120.98,22.592,106.076,,1.41,2.17,,0.51,0.92,,,AFT,Fuller_2006(Tectonophysics)
,,,21-00 *8,,,120.934,22.613,987.531,,0.584,2.03,,0.15,0.79,,,AFT,Fuller_2006(Tectonophysics)
,,,20-00 *8,,,120.931,22.616,987.664,,0.558,0.191,,0.105,0.0485,,,AFT,Fuller_2006(Tectonophysics)
,,,23-00 *8,,,120.943,22.62,1033.53,,0.608,2.04,,0.11,0.675,,,AFT,Fuller_2006(Tectonophysics)
,,,19-00 *8,,,120.932,22.623,1075.97,,0.754,1.08,,0.125,0.35,,,AFT,Fuller_2006(Tectonophysics)
,,,15-01 *8,,,120.648,22.713,139.416,,3.58,3.68,,0.33,0.625,,,AFT,Fuller_2006(Tectonophysics)
,,,23-01 *8,,,120.659,23.031,314.651,,3.37,4.5,,0.32,0.725,,,AFT,Fuller_2006(Tectonophysics)
,,,24-01 *8,,,120.67,23.046,358.393,,2.62,2.81,,0.55,1.065,,,AFT,Fuller_2006(Tectonophysics)
,,,20-01 *8,,,120.544,23.071,306.164,,22.8,39.6,,0.66,3.55,,,AFT,Fuller_2006(Tectonophysics)
,,,21-01 *8,,,120.621,23.073,554.962,,5.59,30.1,,0.31,6.85,,,AFT,Fuller_2006(Tectonophysics)
,,,17-01 *8,,,120.52,23.082,126.484,,31.9,61.7,,1.21,5.2,,,AFT,Fuller_2006(Tectonophysics)
,,,37-01 *8,,,120.942,23.263,2575.88,,1.5,2.58,,0.54,0.915,,,AFT,Fuller_2006(Tectonophysics)
,,,34-01 *8,,,120.841,23.284,1262.85,,2.01,1.84,,0.32,0.625,,,AFT,Fuller_2006(Tectonophysics)
,,,28-01 *8,,,120.617,23.432,423.038,,29.3,47.1,,1.01,5.25,,,AFT,Fuller_2006(Tectonophysics)
,,,25-01 *8,,,120.61,23.438,347.453,,33.6,43.4,,1.16,3.55,,,AFT,Fuller_2006(Tectonophysics)
,,,30-01 *8,,,120.728,23.465,1430.69,,32.4,35.4,,1.01,3,,,AFT,Fuller_2006(Tectonophysics)
,,,31-01 *8,,,120.821,23.512,2370.21,,28.2,26.2,,4.34,8.55,,,AFT,Fuller_2006(Tectonophysics)
,,,19-02 *8,,,120.865,23.546,1067.36,,1.52,0.706,,0.26,0.209,,,AFT,Fuller_2006(Tectonophysics)
,,,18-02 *8,,,120.938,23.566,1672.3,,73,60.06,,5.56,14,,,AFT,Fuller_2006(Tectonophysics)
,,,16-02 *8,,,120.939,23.793,416.026,,2.47,2.58,,0.22,0.41,,,AFT,Fuller_2006(Tectonophysics)
,,,10-02 *8,,,120.817,23.892,521.028,,11.4,23.2,,0.61,4.2,,,AFT,Fuller_2006(Tectonophysics)
,,,5-02 *8,,,120.874,24.171,546.707,,7.82,13.1,,0.42,3.5,,,AFT,Fuller_2006(Tectonophysics)
,,,2-02 *8,,,120.91,24.175,610.226,,0.939,0.612,,0.18,0.151,,,AFT,Fuller_2006(Tectonophysics)
,,,22-02 *8,,,121.303,24.194,2580.64,,1.16,0.814,,0.29,0.277,,,AFT,Fuller_2006(Tectonophysics)
,,,14-02 *8,,,120.73,24.197,246.909,,28.5,52.4,,0.81,4.5,,,AFT,Fuller_2006(Tectonophysics)
,,,23-02 *8,,,121.265,24.235,1931.97,,4.64,6.45,,0.46,3.195,,,AFT,Fuller_2006(Tectonophysics)
,,,23-02,,,121.265,24.235,1931.97,,0.35a,,,1.26,,,,AFT,Fuller_2006(Tectonophysics)
,,,24-02 *8,,,121.231,24.247,1779.81,,1.62,0.991,,0.34,0.256,,,AFT,Fuller_2006(Tectonophysics)
,,,25-02 *8,,,121.236,24.247,1946.79,,5.28,7.55,,0.73,2.375,,,AFT,Fuller_2006(Tectonophysics)
,,,33_01,,,120.427,22.839,2049.15,,0.535,,,0.22,,,,AFT,Lock_2007(PhD Thesis)
,,,41_05,,,120.667,23.019,421.44,,5.41,,,1.22,,,,AFT,Lock_2007(PhD Thesis)
,,,24_04,,,120.655,23.022,279.43,,23.1,15.4,,2.4,6.6,,,AFT,Lock_2007(PhD Thesis)
,,,25_04,,,120.647,23.03,308.457,,13.7,5.14,,1.4,2.46,,,AFT,Lock_2007(PhD Thesis)
,,,27_04,,,120.647,23.03,308.457,,3.58,,,3.62,,,,AFT,Lock_2007(PhD Thesis)
,,,26_04,,,120.645,23.031,313.34,,4.1,,,1.01,,,,AFT,Lock_2007(PhD Thesis)
,,,28_04,,,120.648,23.031,297.475,,3.19,3.33,,0.51,1,,,AFT,Lock_2007(PhD Thesis)
,,,23-01 *5,,,120.65,23.034,330.38,,3.37,4.5,,0.64,1.45,,,AFT,Lock_2007(PhD Thesis)
,,,20_01,,,120.544,23.071,304.01,,22.8,39.6,,1.3,7.1,,,AFT,Lock_2007(PhD Thesis)
,,,35_04,,,120.642,23.073,459.081,,0.55,1.37,,0.185,1.14,,,AFT,Lock_2007(PhD Thesis)
,,,21-01 *5,,,120.621,23.073,570.28,,5.59,30.1,,0.61,13.7,,,AFT,Lock_2007(PhD Thesis)
,,,34_04,,,120.611,23.083,355.506,,1.03,2.87,,0.22,1.53,,,AFT,Lock_2007(PhD Thesis)
,,,36_04,,,120.553,23.085,432.394,,43.5,64.7,,2.5,8.9,,,AFT,Lock_2007(PhD Thesis)
,,,33_04,,,120.604,23.086,314.085,,8.41,11.1,,0.81,4.1,,,AFT,Lock_2007(PhD Thesis)
,,,29_04,,,120.51,23.092,175.081,,32.3,43,,2,6.5,,,AFT,Lock_2007(PhD Thesis)
,,,32_04,,,120.528,23.097,157.39,,29.6,42.9,,1.8,6.8,,,AFT,Lock_2007(PhD Thesis)
,,,30_04,,,120.513,23.115,360.975,,27.6,48.7,,1.9,9.2,,,AFT,Lock_2007(PhD Thesis)
,,,31_04,,,120.503,23.115,153.594,,33,52.4,,0.8,8.3,,,AFT,Lock_2007(PhD Thesis)
,,,39_04,,,120.47,23.238,316.828,,41.9,66.7,,2.1,10.7,,,AFT,Lock_2007(PhD Thesis)
,,,6_04,,,120.84,24.029,244.12,,58.8,,,3.6,,,,AFT,Lock_2007(PhD Thesis)
,,,5_04,,,120.822,24.033,326.556,,47.9,,,2.7,,,,AFT,Lock_2007(PhD Thesis)
,,,4_04,,,120.832,24.035,371,,40.9,,,2.5,,,,AFT,Lock_2007(PhD Thesis)
,,,3_04,,,120.803,24.037,294.3,,46.2,,,2.3,,,,AFT,Lock_2007(PhD Thesis)
,,,11_04,,,120.869,24.046,290,,2.43,,,0.59,,,,AFT,Lock_2007(PhD Thesis)
,,,13-04,,,120.897,24.06,329.25,,3.23,,,0.87,,,,AFT,Lock_2007(PhD Thesis)
,,,14_04,,,120.946,24.067,412,,1.37,2.7,,0.56,1.86,,,AFT,Lock_2007(PhD Thesis)
,,,18_04,,,120.988,24.076,491.856,,2.3,2.87,,0.42,0.99,,,AFT,Lock_2007(PhD Thesis)
,,,9_04,,,120.87,24.077,313.199,,2.82,2.98,,0.91,1.46,,,AFT,Lock_2007(PhD Thesis)
