figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference
,,,BU07-76,,quartzite,89.51678,27.22606,2020,3.06,,,0.04,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU07-79,,quartzite,89.57497,27.33758,2188,6.6,,,0.1,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU08-135,,quartzite,89.46922,26.91692,1865,9.09,,,0.15,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-64,,quartzite,89.11122,26.89972,590,3.24,,,0.08,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-65,,phyllite,89.12011,26.90158,945,1.86,,,0.1,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-68,,quartzite,89.14875,26.89614,1370,6.03,,,0.13,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-71,,quartzite,89.20083,26.89519,1595,8.58,,,0.12,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-89,,quartzite,89.90786,26.85717,880,9.74,,,0.3,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-90,,quartzite,89.94411,26.79442,198,8.54,,,0.26,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU10-93,,quartzite,89.86333,26.74447,140,8.93,,,0.26,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU11-01,,paragneiss,89.58273,27.02924,1860,9.06,,,0.18,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BU11-02,,paragneiss,89.5565,27.0663,1545,8.35,,,0.13,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH-411,,paragneiss,89.41996,27.46156,2335,6.42,,,0.11,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH-424,,quartzite,89.42762,27.38741,2274,6.8,,,0.11,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH-432,,quartzite,89.30901,27.36241,3042,6.87,,,0.13,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH-413,,quartzite,89.47229,27.34339,2182,6.99,,,0.11,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH-415,,orthogneiss,89.74973,27.49078,3123,6.03,,,0.1,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH-401,,orthogneiss,89.99908,27.504,1483,5.03,,,0.08,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH109,,quartzite,89.39972,27.44222,2400,6.4,,,0.11,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,F01a,,quartzite,89.409061,26.862184,644,6.22,,,0.13,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,F04,,orthogneiss,89.459331,26.907234,1751,9.15,,,0.18,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,F07,,quartzite,89.552425,27.189091,2153,7.7,,,0.18,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,F05,,paragneiss,89.574151,27.02737,1881,7.66,,,0.13,,,,,ZHe,McQuarrie_2014(E&P_Science_Letters)
,,,BH211,,augengneiss,89.80578,28.1714,4400,8.67,,,0.31,,,,,ZHe,Coutland_2014(AGU_Publications)
,,,BH406,,migmatite,89.82001,27.52181,1700,6.15,,,0.08,,,,,ZHe,Coutland_2014(AGU_Publications)
,,,BHF05,,gneiss,89.57415,27.02737,1864,7.74,,,0.44,,,,,ZHe,Coutland_2014(AGU_Publications)
,,,BH260,,migmatite,89.7222,28.07293,3773,10.44,,,0.61,,,,,ZHe,Coutland_2014(AGU_Publications)
,,,BT0987,,pelitic schist,89.51972,27.4652,2805,6.89,,,0.19,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0988,,orthogneiss,89.52432,27.44978,2655,6.62,,,0.24,,,,,ZHe,Adams_2015(Tectonics)
,,,BT0989,,pelitic schist,89.55662,27.42062,2405,6.63,,,0.21,,,,,ZHe,Adams_2015(Tectonics)
,,,BH161,,migmatite,89.51372,28.02333,4086,4.2,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH163,,migmatite,89.58878,28.06583,4177,4.8,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH164,,leucogranite,89.60957,28.06222,4248,4.5,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH211,,augengneiss,89.80578,28.1714,4400,5.3,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH284,,quartzite,89.72347,28.14491,4189,6.3,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH406,,migmatite,89.82001,27.52181,1700,3,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH408,,micaschist,89.7538,27.50177,2625,2.4,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH409,,gneiss,89.76088,27.48373,2910,4.3,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH411,,migmatite,89.41996,27.46156,2339,4.7,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH412,,gneiss,89.41937,27.45803,2480,4.8,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH413,,quartzite,89.47229,27.34339,2320,3.8,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH415,,migmatite,89.74973,27.49078,3123,3.7,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH416,,augengneiss,89.72231,27.47863,2640,5.9,,,1,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH417,,gneiss,89.695,27.44078,2640,5,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH424,,quartzite,89.42762,27.38741,2500,4,,,0.7,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH426,,quartzite,89.37143,27.37223,3390,5.5,,,1.1,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH430,,leucogranite dyke in quartzite,89.34159,27.37169,3970,3.3,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH431,,calc-…,89.31352,27.37272,3600,5,,,0.9,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH436,,migmatite,89.55313,27.07518,2230,6.9,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH437,,migmatite,89.55054,27.1306,2550,7.9,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH438,,micaschist,89.54089,27.15421,2470,5.9,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH651,,leucogranite,89.29044,27.69862,3540,3.9,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH683,,augengneiss,89.51613,27.97138,4400,5.2,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH686,,gneiss,89.55855,28.03493,5008,3.9,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH687,,gneiss,89.56281,28.04786,4720,4.2,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH689,,migmatite,89.58826,28.06487,4125,3.6,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH695,,migmatite,89.62974,28.06862,3795,4.8,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications)
,,,02-102F,,02-102F,89.5485,27.3146,2116,6.2,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications)
,,,02-232F,,02-232F,89.80645,27.78538,3086,2.3,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,02-235F,,02-235F,89.74823,27.73522,1669,2.2,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF01a,,schist,89.40906,26.86218,650,2.5,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF01b,,schist,89.40906,26.86218,701,2.4,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF02,,,89.43518,26.89151,1250,6.1,,,1.5,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF04,,augengneiss,89.45933,26.90723,1751,5.6,,,1,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF05,,gneiss,89.57415,27.02737,1864,6.5,,,0.8,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF06,,gneiss,89.55721,27.06583,1539,5.9,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BHF07,,micaschist,89.55243,27.18909,2153,6.2,,,0.6,,,,,AFT,Coutland_2014(AGU_Publications)
,,,BH229,,gneiss,89.33608,27.79572,4729,4.4,,,0.5,,,,,AFT,Grujic_2006(Geology)*2
,,,BH109,,quartzite,89.39972,27.44222,2400,6.1,,,0.4,,,,,AFT,Grujic_2006(Geology)*2
,,,F01a,,quartzite,89.409061,26.862184,644,1.8,,,0.6,,,,,AFT,Grujic_2006(Geology)*2
