,figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference,geometry,distance_to_xsection,projected_distance_along_xsection
43,,Kuru Chu Cross Section,,BH38,,paragneiss,91.14425,27.540359999999996,2135.0,5.2,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (316751.1569155366 13047659.84950727),5876.375114593145,84210.18004109868
45,,Kuru Chu Cross Section,,BH339,,gneiss,91.32806,27.3046,2026.0,3.6,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (334553.7466503354 13021280.75194027),12301.09927749575,58087.99762002796
46,,Kuru Chu Cross Section,,BH342,,gneiss,91.29907,27.26742,2219.0,4.0,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications),POINT (331628.4863780174 13017200.24830384),9434.407875334044,53966.13663346916
47,,Kuru Chu Cross Section,,BH351,,leucogranite,91.30357,27.97318,3870.0,3.0,,,1.2,,,,,AFT,Coutland_2014(AGU_Publications),POINT (333147.6926656613 13095390.2301916),11633.336313754393,125959.35211759261
48,,Kuru Chu Cross Section,,BH352,,gneiss,91.29016,27.974159999999998,3880.0,4.1,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications),POINT (331830.0531166455 13095517.21506744),10605.387147354184,125959.35211759261
49,,Kuru Chu Cross Section,,BH355,,leucogranite,91.2987,27.99005,4275.0,3.8,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications),POINT (332694.6741762344 13097266.13084467),12362.759741871027,125959.35211759261
50,,Kuru Chu Cross Section,,BH357,,gneiss,91.29827,27.98563,4085.0,4.0,,,0.2,,,,,AFT,Coutland_2014(AGU_Publications),POINT (332645.5529212547 13096776.97357395),12015.65735681398,125959.35211759261
51,,Kuru Chu Cross Section,,BH362,,leucogranite,91.29901,27.9975,4300.0,4.2,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (332736.6708062438 13098091.18469942),12939.336319158954,125959.35211759261
53,,Kuru Chu Cross Section,,BH378,,paragneiss,91.20487,27.665490000000002,1180.0,2.7,,,0.2,,,,,AFT,Coutland_2014(AGU_Publications),POINT (322939.6539237241 13061436.02562185),114.76370939315345,98073.32467541537
54,,Kuru Chu Cross Section,,BH380,,leucogranite,91.23065,27.26965,2150.0,8.4,,,1.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (324857.9962726345 13017541.333692),2659.7373599275475,54210.502991187466
60,,Kuru Chu Cross Section,,BH100/2,,,91.153889,27.308806,1720.0,5.9,,,1.2,,,,,AFT,Grujic_2006(Geology)*1,POINT (317322.2904173899 13021989.61335484),4938.722614296244,58550.71735407384
62,,Kuru Chu Cross Section,,BH102,,,91.055167,27.329,2795.0,6.5,,,0.6,,,,,AFT,Grujic_2006(Geology)*1,POINT (307586.2174907173 13024375.49247849),14707.873710256496,60797.319697705956
63,,Kuru Chu Cross Section,,BH101,,,91.10072199999999,27.341333000000002,2380.0,6.1,,,0.6,,,,,AFT,Grujic_2006(Geology)*1,POINT (312115.0233394185 13025672.53392205),10198.05172258862,62158.90133723061
77,,Kuru Chu Cross Section,,BU07-29,,diamictite,91.23983333,26.87802778,465.0,1020.91,,,6.735,,,,,MAr,Long_2012(Tectonics),POINT (325160.335947867 12974140.20394878),3581.8249287027907,10818.116253626165
78,,Kuru Chu Cross Section,,BU07-22,,quartzite,91.20627778,27.00844444,260.0,14.78,,,0.17,,,,,MAr,Long_2012(Tectonics),POINT (322031.6048223306 12988635.89250738),246.41086373431133,25267.64767367415
79,,Kuru Chu Cross Section,,BU07-21,,quartzite,91.22197222,27.07247222,950.0,1395.7,,,7.5,,,,,MAr,Long_2012(Tectonics),POINT (323689.1734035753 12995707.56405053),1802.825231116756,32362.26861723423
80,,Kuru Chu Cross Section,,BU07-12,,quartzite,91.20288889,27.27808333,995.0,12.11,,,0.23,,,,,MAr,Long_2012(Tectonics),POINT (322122.9291786536 13018514.91394469),88.95380861103742,55144.92654451756
81,,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.19339000000001,27.399690000000003,840.0,11.78,,,0.205,,,,,MAr,Long_2012(Tectonics),POINT (321377.7272007739 13032002.08006924),1026.6798229094786,68620.07574521731
82,,Kuru Chu Cross Section,,BU07-9,,quartzite,91.18111111,27.40255556,930.0,12.95,,,0.235,,,,,MAr,Long_2012(Tectonics),POINT (320168.0989151638 13032337.263775),2240.971270386083,68937.95148593666
83,,Kuru Chu Cross Section,,NBH-11,,quartzite,91.18354000000001,27.50625,1365.0,9.18,,,0.085,,,,,MAr,Long_2012(Tectonics),POINT (320576.2770104462 13043822.95650595),1996.853290832754,80428.30192791251
84,,Kuru Chu Cross Section,,BU07-6,,quartzite,91.21519444,27.59366667,1170.0,8.4,,,0.385,,,,,MAr,Long_2012(Tectonics),POINT (323843.1796992774 13053463.21959676),1132.0509697151276,90114.23418900852
