X,topo,data_AFT,data_AFT_1SE,data_Zhe,data_Zhe_1SE,data_ArAr,data_ArAr_1SE,AFT_model,Zhe_model,Ar_Ar_model
478,4.678,,,,,,,51.5588,49.2451,50
479,4.678,,,,,,,51.5588,49.2451,50
480,4.678,,,,,,,53.2199,49.2451,50
481,4.678,,,,,,,53.2199,49.2451,50
482,4.678,,,,,,,51.5588,49.2451,50
483,4.678,,,,,,,51.5588,49.2451,50
484,4.678,,,,,,,53.2199,49.2451,50
485,4.678,,,,,,,53.2199,49.2451,50
486,4.678,,,,,,,53.2199,49.2451,50
487,4.678,,,,,,,51.5588,49.2451,50
488,4.678,,,,,,,53.2199,49.2451,50
489,4.678,,,,,,,53.2199,49.2451,50
490,4.678,,,,,,,53.2199,49.2451,50
491,4.678,,,,,,,53.2199,49.2451,50
492,4.678,,,,,,,51.5588,49.2451,50
493,4.678,,,,,,,53.2199,49.2451,50
494,4.678,,,,,,,53.2199,49.2451,50
495,4.678,,,,,,,53.2199,49.2451,50
496,4.678,,,,,,,53.2199,49.2451,50
497,4.678,,,,,,,51.5588,49.2451,50
498,4.678,,,,,,,53.2199,49.2451,50
499,4.678,,,,,,,53.2199,49.2451,50
500,4.678,,,,,,,53.2199,49.2451,50
501,4.678,,,,,,,53.2199,49.2451,50
502,4.678,,,,,,,51.5588,49.2451,50
503,4.678,,,,,,,53.2199,49.2451,50
504,4.678,,,,,,,53.2199,49.2451,50
505,4.678,,,,,,,53.2199,49.2451,50
506,4.678,,,,,,,51.5588,49.2451,50
507,4.678,,,,,,,51.5588,49.2451,50
508,4.678,,,,,,,53.2199,49.2451,50
509,4.678,,,,,,,53.2199,49.2451,50
510,4.678,,,,,,,53.2199,49.2451,50
511,4.678,,,,,,,51.5588,49.2451,50
512,4.678,,,,,,,53.2199,49.2451,50
513,4.678,,,,,,,53.2199,49.2451,50
514,4.678,,,,,,,53.2199,49.2451,50
515,4.678,,,,,,,51.5588,49.2451,50
516,4.678,,,,,,,51.5588,49.2451,50
517,4.678,,,,,,,53.2199,49.2451,50
518,4.678,,,,,,,53.2199,49.2451,50
519,4.678,,,,,,,53.2199,49.2451,50
520,4.678,,,,,,,51.5588,49.2451,50
521,4.678,,,,,,,53.2199,49.2451,50
522,4.678,,,,,,,53.2199,49.2451,50
523,4.678,,,,,,,53.2199,49.2451,50
524,4.678,,,,,,,53.2199,49.2451,50
525,4.678,,,,,,,51.5588,49.2451,50
526,4.678,,,,,,,53.2199,49.2451,50
527,4.678,,,,,,,53.2199,49.2451,50
528,4.678,,,,,,,53.2199,49.2451,50
529,4.678,,,,,,,53.2199,49.2451,50
530,4.678,,,,,,,51.5588,49.2451,50
531,4.678,,,,,,,53.2199,49.2451,50
532,4.678,,,,,,,53.2199,49.2451,50
533,4.678,,,,,,,53.2199,49.2451,50
534,4.678,,,,,,,53.2199,49.2451,50
535,4.678,,,,,,,51.5588,49.2451,50
536,4.678,,,,,,,53.2199,49.2451,50
537,4.678,,,,,,,53.2199,49.2451,50
538,4.678,,,,,,,53.2199,49.2451,50
539,4.678,,,,,,,53.2199,49.2451,50
540,4.678,,,,,,,51.5588,49.2451,50
541,4.678,,,,,,,53.2199,49.2451,50
542,4.678,,,,,,,53.2199,49.2451,50
543,4.678,,,,,,,53.2199,49.2451,50
544,4.678,,,,,,,53.2199,49.2451,50
545,4.678,,,,,,,51.5588,49.2451,50
546,4.678,,,,,,,53.2199,49.2451,50
547,4.678,,,,,,,53.2199,49.2451,50
548,4.678,,,,,,,53.2199,49.2451,50
549,4.678,,,,,,,53.2199,49.2451,50
550,4.678,,,,,,,51.5588,49.2451,50
551,4.678,,,,,,,53.2199,49.2451,50
552,4.678,,,,,,,53.2199,49.2451,50
553,4.678,,,,,,,53.2199,49.2451,50
554,4.678,,,,,,,53.2199,49.2451,50
555,4.678,,,,,,,51.5588,49.2451,50
556,4.678,,,,,,,53.2199,49.2451,50
557,4.678,,,,,,,53.2199,49.2451,50
558,4.678,,,,,,,53.2199,49.2451,50
559,4.678,,,,,,,53.2199,49.2451,50
560,4.678,,,,,,,51.5588,49.2451,50
561,4.678,,,,,,,53.2199,49.2451,50
562,4.678,,,,,,,53.2199,49.2451,50
563,4.678,,,,,,,51.5588,49.2451,50
564,4.678,,,,,,,51.5588,49.2451,50
565,4.678,,,,,,,53.2199,49.2451,50
566,4.678,,,,,,,53.2199,49.2451,50
567,4.678,,,,,,,51.5588,49.2451,50
568,4.678,,,,,,,53.2199,49.2451,50
569,4.678,,,,,,,53.2199,49.2451,50
570,4.678,,,,,,,53.2199,49.2451,50
571,4.678,,,,,,,53.2199,49.2451,50
572,4.678,,,,,,,53.2199,49.2451,50
573,4.678,,,,,,,53.2199,49.2451,50
574,4.678,,,,,,,51.5588,49.2451,50
