X,topo,data_AFT,data_AFT_1SE,data_Zhe,data_Zhe_1SE,data_ArAr,data_ArAr_1SE,AFT_model,Zhe_model,Ar_Ar_model
57,1.2368,,,,,,,3.5122,7.2334,13.1035
58,1.2635,,,,,,,3.4763,7.341,12.919
59,1.2795,,,,,,,3.3774,7.5397,12.7204
60,1.295,4.52,0.73,7.16,0.075,11.78,0.205,3.1812,7.5734,12.7022
61,1.3106,,,,,,,2.9783,7.6443,12.6753
62,1.3263,,,6.7,0.065,12.98,0.235,2.9397,7.549,12.6183
63,1.3378,,,,,,,2.8298,7.4961,12.4469
64,1.3462,,,,,,,2.6526,7.513,12.1104
65,1.3548,,,,,,,2.4726,7.442,12.081
66,1.3634,,,,,,,2.2856,6.6993,12.0169
67,1.3721,,,,,,,1.9304,5.6923,11.9292
68,1.3809,,,,,,,1.8422,5.2936,11.7949
69,1.3898,,,,,,,1.6496,4.8853,11.5795
70,1.3987,,,,,,,1.4499,4.7616,11.4405
71,1.4078,,,,,,,1.4231,4.7771,11.3632
72,1.4169,,,6.48,0.4505,9.18,0.085,1.3851,4.855,11.2959
73,1.6596,,,,,,,1.3151,5.467,11.1495
74,1.8723,,,,,,,1.227,6.194,11.0345
75,1.8985,,,5.49,0.06,,,1.0083,6.3054,11.0036
76,1.9247,,,,,,,1.1982,7.2883,10.9822
77,1.9509,,,,,,,1.246,8.4416,10.8901
78,1.977,,,,,,,2.0839,9.9832,10.9301
79,2.0032,,,,,,,3.0377,10.0013,10.9942
80,2.0294,,,,,,,3.8155,10.1282,11.2979
81,2.0556,,,,,,,4.2834,10.192,11.8913
82,2.0818,,,5.62,0.165,8.4,0.385,5.5723,10.1638,13.8816
83,2.108,,,,,,,6.4216,8.549,15.8908
84,2.1342,,,,,,,6.7527,9.6792,15.9124
85,2.1603,,,,,,,7.5351,9.8765,16.0907
86,2.1865,,,,,,,8.1924,10.0243,16.0588
87,2.2127,,,,,,,8.9144,10.1513,16.0334
88,2.2389,,,,,,,9.6551,10.2522,16.0255
89,2.2651,,,,,,,10.1438,10.33,16.0695
90,2.2913,,,4.05,0.58,,,10.2489,10.4266,18.007
91,2.3175,,,,,,,11.2618,11.4109,50
92,2.3436,,,,,,,11.288,12.1304,50
93,2.3698,,,,,,,11.345,12.0143,50
94,1.7866,,,,,,,11.4057,12.1754,50
95,1.1044,,,,,,,11.5389,12.3942,50
96,0.4562,,,,,,,10.4043,11.1615,50
97,0,,,,,,,9.43893,10.0968,15.3208
98,0,,,,,,,9.2312,10.0062,14.9715
99,0,,,4.43,0.27,,,9.1035,9.8432,14.8186
100,0,,,,,,,9.6096,9.9682,15.0851
101,0,,,,,,,9.7746,10.0493,14.9541
102,0,,,,,,,9.8107,9.9873,14.9181
103,0,,,,,,,9.8165,9.9328,14.9544
104,0,,,,,,,9.708,9.8637,15.3077
105,0,,,,,,,9.6251,9.7962,15.3683
106,0,,,,,,,9.5524,9.727,15.423
107,0,,,,,,,9.4803,9.6582,15.468
108,0,,,,,,,9.3199,9.5947,12.4753
109,0.454,,,,,,,9.452,9.6352,11.4553
110,1.2338,,,,,,,9.1613,9.2683,10.2061
111,1.7616,,,,,,,8.5163,8.7964,9.0978
112,1.9844,,,,,,,8.4901,8.5785,9.261
113,2.0441,,,,,,,8.4234,8.5261,9.0764
114,2.0616,,,,,,,8.2085,8.4345,9.061
115,2.0828,,,,,,,8.3585,8.5395,9.0897
116,2.1103,,,,,,,8.3879,8.5122,9.1456
117,2.1378,,,,,,,8.3004,8.5157,9.2105
118,2.1644,,,,,,,8.3051,8.5166,9.3563
119,2.1895,,,,,,,8.3593,8.5223,9.3894
120,2.2134,,,,,,,8.3024,8.5306,9.39
121,2.2372,,,,,,,8.3279,8.54,9.3941
122,2.261,,,,,,,8.3532,8.5494,9.398
123,2.2843,,,,,,,8.3611,8.5571,9.5292
124,2.3074,,,,,,,8.3656,8.5637,9.6998
125,2.3242,4.8,0.0425,,,,,8.375,8.5688,9.6369
125.5,2.3313,3,1.2,,,,,8.36835,8.57025,9.69275
126,2.3413,2.5,0.2,7.42,0.55,,,8.3617,8.5717,9.7486
127,2.3595,4,0.2,,,,,8.3529,8.5728,9.7583
128,2.3792,4.1,0.3,,,,,8.3603,8.5726,9.7701
129,2.3981,4.2,0.4,,,,,8.3666,8.5796,9.7784
130,2.4143,,,,,,,8.4681,8.6045,10.4773
131,2.4305,,,,,,,8.497,8.6697,10.4888
132,2.4406,,,,,,,8.6136,8.7567,50
133,2.4535,,,,,,,8.6189,8.817,50
134,2.4684,,,,,,,8.6298,8.8436,50
135,2.4859,,,,,,,8.6439,8.8666,50
136,2.5027,,,,,,,8.6272,8.8738,50
137,2.5021,,,,,,,8.6096,8.8502,50
138,2.4592,,,,,,,8.5875,8.7972,50
139,2.3949,,,,,,,8.5495,8.7529,50
140,2.3829,,,,,,,8.5268,8.7285,50
141,2.4457,,,,,,,8.5635,8.717,50
142,2.5265,,,,,,,8.5989,8.7079,50
143,2.5806,,,,,,,8.6057,8.6943,50
144,2.6099,,,,,,,8.6278,8.6794,50
145,2.6292,,,,,,,8.6355,8.6674,50
146,2.6535,,,,,,,8.6214,8.6582,50
147,2.6813,,,,,,,8.6158,8.652,50
148,2.7097,,,,,,,8.6221,8.6437,50
149,2.7394,,,,,,,8.6247,8.6266,50
150,2.7663,,,,,,,8.6222,8.6192,50
151,2.7875,,,,,,,8.6354,8.6148,50
152,2.8057,,,,,,,8.6444,8.6117,50
153,2.8238,,,,,,,8.6469,8.6103,50
154,2.8419,,,,,,,8.6521,8.6112,50
155,2.8557,,,,,,,8.6581,8.6147,50
156,2.8605,,,,,,,8.6501,8.6214,50
157,2.8604,,,,,,,8.6474,8.6362,50
158,2.8644,,,,,,,8.653,8.6911,50
159,2.8759,,,,,,,8.7091,9.094,50
160,2.895,,,,,,,8.8914,10.5224,50
161,2.9163,,,,,,,8.9987,12.6959,50
162,2.9331,,,,,,,9.0616,14.7858,50
163,2.9428,,,,,,,9.0793,16.5301,50
164,2.943,,,,,,,9.097,18.934,50
165,2.9364,,,,,,,9.1117,26.8658,50
166,2.9318,,,,,,,9.3286,33.3966,50
167,2.9316,,,,,,,9.1027,30.7675,50
168,2.9316,,,,,,,9.1038,30.8457,50
169,2.9242,,,,,,,9.0975,30.117,50
170,2.9188,,,,,,,9.0885,27.7539,50
171,2.9182,,,,,,,9.0686,25.9316,50
172,2.9195,,,,,,,9.0716,26.3629,50
173,2.9211,,,,,,,9.0631,30.6293,50
174,2.9205,,,,,,,9.0572,30.3833,50
175,2.9266,,,,,,,9.0555,30.5661,50
176,2.9742,,,,,,,9.0581,30.7805,50
177,3.0681,,,,,,,9.1517,35.4653,50
178,3.1495,,,,,,,9.5073,37.4634,50
179,3.1812,,,,,,,9.4201,36.5552,50
180,3.1843,,,,,,,9.2015,36.1974,50
181,3.1783,,,,,,,53.2199,49.2451,50
182,3.1694,,,,,,,53.2199,49.2451,50
183,3.1692,,,,,,,10.5144,40.0014,50
184,3.178,,,,,,,10.8636,40.4545,50
185,3.2305,,,,,,,12.5188,43.0297,50
186,3.385,,,,,,,53.2199,49.2451,50
187,3.6131,,,,,,,53.2199,49.2451,50
188,3.7858,,,,,,,19.3343,47.8786,50
189,3.8531,,,,,,,22.2724,48.2528,50
190,3.8633,,,,,,,53.2199,49.2451,50
191,3.8628,,,,,,,53.2199,49.2451,50
192,3.861,,,,,,,53.2199,49.2451,50
193,3.8612,,,,,,,31.3572,48.7678,50
194,3.8592,,,,,,,32.4298,48.823,50
195,3.8757,,,,,,,53.2199,49.2451,50
196,3.9512,,,,,,,53.2199,49.2451,50
197,4.0402,,,,,,,53.2199,49.2451,50
198,4.073,,,,,,,38.0361,49.0684,50
199,4.0745,,,,,,,37.0674,49.0323,50
200,4.0755,,,,,,,53.2199,49.2451,50
201,4.0767,,,,,,,53.2199,49.2451,50
202,4.0893,,,,,,,53.2199,49.2451,50
203,4.1022,,,,,,,37.3098,49.0412,50
204,4.1129,,,,,,,36.6961,49.018,50
205,4.1327,,,,,,,53.2199,49.2451,50
206,4.2071,,,,,,,53.2199,49.2451,50
207,4.3359,,,,,,,53.2199,49.2451,50
208,4.4157,,,,,,,41.7285,49.1808,50
209,4.4197,,,,,,,41.1763,49.1665,50
210,4.4223,,,,,,,53.2199,49.2451,50
211,4.4259,,,,,,,53.2199,49.2451,50
212,4.4277,,,,,,,53.2199,49.2451,50
213,4.4274,,,,,,,42.0365,49.1896,50
214,4.4292,,,,,,,41.8186,49.1832,50
215,4.4309,,,,,,,53.2199,49.2451,50
216,4.4857,,,,,,,53.2199,49.2451,50
217,4.6006,,,,,,,53.2199,49.2451,50
218,4.6696,,,,,,,44.5761,49.2343,50
219,4.6773,,,,,,,45.1514,49.2385,50
220,4.6837,,,,,,,53.2199,49.2451,50
221,4.6929,,,,,,,53.2199,49.2451,50
222,4.6953,,,,,,,53.2199,49.2451,50
223,4.7017,,,,,,,46.1816,49.2426,50
224,4.7081,,,,,,,46.5805,49.2433,50
225,4.7146,,,,,,,53.2199,49.2451,50
226,4.7211,,,,,,,53.2199,49.2451,50
227,4.9436,,,,,,,53.2199,49.2451,50
228,5.0572,,,,,,,45.686,49.2409,50
229,5.0867,,,,,,,44.0063,49.2291,50
230,5.1063,,,,,,,42.8063,49.209,50
231,5.1124,,,,,,,53.2199,49.2451,50
232,5.1182,,,,,,,53.2199,49.2451,50
233,5.124,,,,,,,44.2014,49.2309,50
234,5.1298,,,,,,,46.673,49.2434,50
235,5.136,,,,,,,53.2199,49.2451,50
236,5.2912,,,,,,,53.2199,49.2451,50
237,5.7959,,,,,,,53.2199,49.2451,50
238,6.1668,,,,,,,51.1127,49.2451,50
239,6.193,,,,,,,51.0796,49.2451,50
240,6.2192,,,,,,,53.2199,49.2451,50
241,6.2453,,,,,,,53.2199,49.2451,50
242,6.2715,,,,,,,53.2199,49.2451,50
243,6.2977,,,,,,,51.4455,49.2451,50
244,6.3239,,,,,,,51.5055,49.2451,50
245,6.3501,,,,,,,53.2199,49.2451,50
246,6.3763,,,,,,,53.2199,49.2451,50
247,6.4025,,,,,,,51.5588,49.2451,50
248,6.4286,,,,,,,51.5576,49.2451,50
249,6.4548,,,,,,,51.5588,49.2451,50
250,6.481,,,,,,,53.2199,49.2451,50
251,6.5072,,,,,,,53.2199,49.2451,50
252,6.4061,,,,,,,51.5588,49.2451,50
253,5.6846,,,,,,,51.5588,49.2451,50
254,5.0607,,,,,,,53.2199,49.2451,50
255,4.6376,,,,,,,53.2199,49.2451,50
256,4.4017,,,,,,,53.2199,49.2451,50
257,4.3979,,,,,,,51.5339,49.2451,50
258,4.396,,,,,,,51.535,49.2451,50
259,4.3934,,,,,,,53.2199,49.2451,50
260,4.3909,,,,,,,53.2199,49.2451,50
261,4.3883,,,,,,,53.2199,49.2451,50
262,4.3796,,,,,,,51.5267,49.2451,50
263,4.4354,,,,,,,51.5385,49.2451,50
264,4.529,,,,,,,53.2199,49.2451,50
265,4.6752,,,,,,,53.2199,49.2451,50
266,4.6822,,,,,,,51.5588,49.2451,50
267,4.6815,,,,,,,51.5576,49.2451,50
268,4.6793,,,,,,,51.5564,49.2451,50
269,4.678,,,,,,,53.2199,49.2451,50
270,4.678,,,,,,,53.2199,49.2451,50
271,4.678,,,,,,,51.5588,49.2451,50
272,4.678,,,,,,,51.5551,49.2451,50
273,4.678,,,,,,,53.2199,49.2451,50
274,4.678,,,,,,,53.2199,49.2451,50
275,4.678,,,,,,,53.2199,49.2451,50
276,4.678,,,,,,,51.5571,49.2451,50
277,4.678,,,,,,,51.5553,49.2451,50
278,4.678,,,,,,,53.2199,49.2451,50
279,4.678,,,,,,,53.2199,49.2451,50
280,4.678,,,,,,,51.5588,49.2451,50
281,4.678,,,,,,,51.5557,49.2451,50
282,4.678,,,,,,,53.2199,49.2451,50
283,4.678,,,,,,,53.2199,49.2451,50
284,4.678,,,,,,,53.2199,49.2451,50
285,4.678,,,,,,,51.5543,49.2451,50
286,4.678,,,,,,,51.5528,49.2451,50
287,4.678,,,,,,,53.2199,49.2451,50
288,4.678,,,,,,,53.2199,49.2451,50
289,4.678,,,,,,,51.5588,49.2451,50
290,4.678,,,,,,,51.5588,49.2451,50
291,4.678,,,,,,,51.5588,49.2451,50
292,4.678,,,,,,,53.2199,49.2451,50
293,4.678,,,,,,,53.2199,49.2451,50
294,4.678,,,,,,,51.5588,49.2451,50
295,4.678,,,,,,,51.5588,49.2451,50
296,4.678,,,,,,,51.5588,49.2451,50
297,4.678,,,,,,,53.2199,49.2451,50
298,4.678,,,,,,,53.2199,49.2451,50
299,4.678,,,,,,,53.2199,49.2451,50
300,4.678,,,,,,,51.5588,49.2451,50
301,4.678,,,,,,,51.5588,49.2451,50
302,4.678,,,,,,,53.2199,49.2451,50
303,4.678,,,,,,,53.2199,49.2451,50
304,4.678,,,,,,,51.5588,49.2451,50
305,4.678,,,,,,,51.5588,49.2451,50
306,4.678,,,,,,,53.2199,49.2451,50
307,4.678,,,,,,,53.2199,49.2451,50
308,4.678,,,,,,,53.2199,49.2451,50
309,4.678,,,,,,,51.5588,49.2451,50
310,4.678,,,,,,,51.5588,49.2451,50
